"text","book","chapter"
"a sensible person like yourself can call him by his name? All","Book 1: Philosopher's Stone","chap-1"
"this 'You- Know-Who' nonsense -- for eleven years I have been trying","Book 1: Philosopher's Stone","chap-1"
"to persuade people to call him by his proper name: Voldemort.` Professor","Book 1: Philosopher's Stone","chap-1"
"McGonagall flinched, but Dumbledore, who was unsticking two lemon drops, seemed not","Book 1: Philosopher's Stone","chap-1"
"to notice. `It all gets so confusing if we keep saying 'You-Know-Who.'","Book 1: Philosopher's Stone","chap-1"
"I have never seen any reason to be frightened of saying Voldemort's","Book 1: Philosopher's Stone","chap-1"
"name.  `I know you haven 't, said Professor McGonagall, sounding half","Book 1: Philosopher's Stone","chap-1"
"exasperated, half admiring. `But you're different. Everyone knows you're the only one","Book 1: Philosopher's Stone","chap-1"
"You-Know- oh, all right, Voldemort, was frightened of.`  `You flatter me,`","Book 1: Philosopher's Stone","chap-1"
"said Dumbledore calmly. `Voldemort had powers I will never have.`  `Only","Book 1: Philosopher's Stone","chap-1"
"because you're too -- well -- noble to use them.`  `It's","Book 1: Philosopher's Stone","chap-1"
"lucky it's dark. I haven't blushed so much since Madam Pomfrey told","Book 1: Philosopher's Stone","chap-1"
"me she liked my new earmuffs.`  Professor McGonagall shot a sharp","Book 1: Philosopher's Stone","chap-1"
"look at Dumbledore and said, `The owls are nothing next to the","Book 1: Philosopher's Stone","chap-1"
"rumors that are flying around. You know what everyone's saying? About why","Book 1: Philosopher's Stone","chap-1"
"he's disappeared? About what finally stopped him?`  It seemed that Professor","Book 1: Philosopher's Stone","chap-1"
"McGonagall had reached the point she was most anxious to discuss, the","Book 1: Philosopher's Stone","chap-1"
"real reason she had been waiting on a cold, hard wall all","Book 1: Philosopher's Stone","chap-1"
"day, for neither as a cat nor as a woman had she","Book 1: Philosopher's Stone","chap-1"
"fixed Dumbledore with such a piercing stare as she did now. It","Book 1: Philosopher's Stone","chap-1"
"was plain that whatever `everyone` was saying, she was not going to","Book 1: Philosopher's Stone","chap-1"
"believe it until Dumbledore told her it was true. Dumbledore, however, was","Book 1: Philosopher's Stone","chap-1"
"choosing another lemon drop and did not answer.  `What they're saying,`","Book 1: Philosopher's Stone","chap-1"
"she pressed on, `is that last night Voldemort turned up in Godric's","Book 1: Philosopher's Stone","chap-1"
"Hollow. He went to find the Potters. The rumor is that Lily","Book 1: Philosopher's Stone","chap-1"
"and James Potter are -- are -- that they're -- dead. `","Book 1: Philosopher's Stone","chap-1"
" Dumbledore bowed his head. Professor McGonagall gasped.  `Lily and James...","Book 1: Philosopher's Stone","chap-1"
"I can't believe it... I didn't want to believe it... Oh, Albus...`","Book 1: Philosopher's Stone","chap-1"
" Dumbledore reached out and patted her on the shoulder. `I know...","Book 1: Philosopher's Stone","chap-1"
"I know...` he said heavily.  Professor McGonagall's voice trembled as she","Book 1: Philosopher's Stone","chap-1"
"went on. `That's not all. They're saying he tried to kill the","Book 1: Philosopher's Stone","chap-1"
"Potter's son, Harry. But -- he couldn't. He couldn't kill that little","Book 1: Philosopher's Stone","chap-1"
"boy. No one knows why, or how, but they're saying that when","Book 1: Philosopher's Stone","chap-1"
"he couldn't kill Harry Potter, Voldemort's power somehow broke -- and that's","Book 1: Philosopher's Stone","chap-1"
"why he's gone.  Dumbledore nodded glumly.  `It's -- it's true?`","Book 1: Philosopher's Stone","chap-1"
"faltered Professor McGonagall. `After all he's done... all the people he's killed...","Book 1: Philosopher's Stone","chap-1"
"he couldn't kill a little boy? It's just astounding... of all the","Book 1: Philosopher's Stone","chap-1"
"things to stop him... but how in the name of heaven did","Book 1: Philosopher's Stone","chap-1"
"Harry survive?`  `We can only guess,` said Dumbledore. `We may never","Book 1: Philosopher's Stone","chap-1"
"know.`  Professor McGonagall pulled out a lace handkerchief and dabbed at","Book 1: Philosopher's Stone","chap-1"
"her eyes beneath her spectacles. Dumbledore gave a great sniff as he","Book 1: Philosopher's Stone","chap-1"
"took a golden watch from his pocket and examined it. It was","Book 1: Philosopher's Stone","chap-1"
"a very odd watch. It had twelve hands but no numbers; instead,","Book 1: Philosopher's Stone","chap-1"
"little planets were moving around the edge. It must have made sense","Book 1: Philosopher's Stone","chap-1"
"to Dumbledore, though, because he put it back in his pocket and","Book 1: Philosopher's Stone","chap-1"
